City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,walvis bay,-22.9575,14.5053,60.1,82,69,7.0,,1701042164
1,olonkinbyen,70.9221,-8.7187,34.16,85,100,18.23,SJ,1701042164
2,bethel,41.3712,-73.414,48.65,82,100,10.36,US,1701041957
3,saint-francois,46.4154,3.9054,31.64,94,100,2.3,FR,1701042040
4,grytviken,-54.2811,-36.5092,38.77,92,99,10.74,GS,1701042021
5,port elizabeth,-33.918,25.5701,69.31,65,0,5.75,ZA,1701042166
6,sandnessjoen,66.0217,12.6316,-3.48,70,9,10.31,NO,1701042166
7,tokar,18.4254,37.729,81.19,74,36,10.36,SD,1701042167
8,laojunmiao,39.8333,97.7333,28.33,36,29,1.79,CN,1701042167
9,albany,42.6001,-73.9662,41.23,74,99,3.0,US,1701042022
10,dudinka,69.4058,86.1778,-17.03,100,90,4.92,RU,1701042071
11,klyuchi,52.2667,79.1667,32.43,52,79,6.53,RU,1701042168
12,waitangi,-43.9535,-176.5597,61.83,94,77,1.99,NZ,1701042168
13,puerto natales,-51.7236,-72.4875,43.99,69,32,7.65,CL,1701042168
14,tolanaro,-25.0319,46.9987,77.07,83,20,13.8,MG,1701042168
15,colonia,50.9333,6.95,42.85,81,100,1.99,DE,1701042169
16,puerto baquerizo moreno,-0.9,-89.6,76.46,77,39,11.72,EC,1701042006
17,ulladulla,-35.35,150.4667,74.77,73,86,6.58,AU,1701042169
18,invercargill,-46.4,168.35,57.02,75,100,4.0,NZ,1701042169
19,punta del este,-34.9667,-54.95,75.31,77,0,9.22,UY,1701042169
20,afaahiti,-17.75,-149.2833,82.27,84,80,19.64,PF,1701042170
21,jamestown,42.097,-79.2353,40.55,74,100,12.66,US,1701041924
22,thunder bay,48.4001,-89.3168,28.38,86,100,8.05,CA,1701041930
23,mitu,1.1983,-70.1733,78.71,75,94,1.7,CO,1701042170
24,da nang,16.0678,108.2208,73.38,88,40,2.3,VN,1701042157
25,bredasdorp,-34.5322,20.0403,60.76,81,29,3.2,ZA,1701042170
26,punta cana,18.5818,-68.4043,78.57,83,20,3.44,DO,1701042053
27,port alfred,-33.5906,26.891,66.18,98,14,3.69,ZA,1701042170
28,port-aux-francais,-49.35,70.2167,38.52,74,100,15.7,TF,1701042171
29,iqaluit,63.7506,-68.5145,11.93,73,75,3.44,CA,1701042171
30,isafjordur,66.0755,-23.124,38.8,89,96,9.44,IS,1701042093
31,sitka,57.0531,-135.33,48.09,81,100,13.8,US,1701042171
32,adamstown,-25.066,-130.1015,70.7,85,100,24.85,PN,1701042171
33,yuma,32.7253,-114.6244,68.77,23,0,10.36,US,1701042171
34,luanda,-8.8368,13.2343,80.6,83,20,4.61,AO,1701042171
35,thompson,55.7435,-97.8558,1.56,71,75,10.36,CA,1701042032
36,queenstown,-31.8976,26.8753,62.55,96,0,1.59,ZA,1701042002
37,mhamid,29.82,-5.72,56.48,21,0,2.89,MA,1701042172
38,margaret river,-33.95,115.0667,68.95,74,99,9.15,AU,1701042172
39,mbaiki,3.8678,17.9892,71.51,89,82,1.43,CF,1701042172
40,kailua-kona,19.6406,-155.9956,82.36,78,20,13.8,US,1701042172
41,bilibino,68.0546,166.4372,9.07,90,13,5.59,RU,1701042173
42,slobozhans'ke,49.597,36.5262,36.86,80,91,20.62,UA,1701042173
